771,0,0,319,1,3,1,264,6
R,104,10647,0
R,109,17064,0
R,112,20460,0
R,115,23381,0
R,116,24181,0
R,117,24937,1
R,119,26404,0
R,120,26996,0
R,122,28179,1
R,124,29314,1
R,125,29678,0
R,126,30043,0
R,130,31502,1
R,132,32185,1
R,135,32803,1
R,137,33216,0
R,146,35071,0
R,147,35146,1
R,149,35304,1
R,152,35541,1
R,163,36408,0
R,181,37729,0
R,189,37873,0
R,197,38016,1
R,224,38501,0
C,34,26,0,72,102,0
C,29,30,0,70,103,0
C,24,36,0,64,105,0
C,19,46,0,114,107,0
C,14,64,0,108,111,0
C,8,100,0,72,119,0
