88,-148,0,147,1,0,0,118,6
R,104,68904,0
R,108,62826,0
R,110,60363,0
R,112,58311,0
R,114,56636,0
R,116,55206,0
R,117,54595,1
R,119,53424,0
R,122,52182,1
R,125,51078,0
R,126,50774,0
R,130,49561,1
R,132,48994,1
R,135,48479,1
R,137,48137,0
R,147,46517,1
R,152,46152,1
R,163,45351,0
R,181,44127,0
R,190,43922,0
R,197,43762,1
R,200,43694,1
R,224,43146,0
C,34,26,1,246,102,2626
C,29,30,1,226,103,3030
C,24,36,1,198,105,3636
C,19,46,1,219,107,4646
C,14,64,1,183,111,6464
C,7,100,1,118,119,10100
