486,-26,0,25,1,1,1,459,6
R,104,14103,0
R,105,15535,0
R,109,22115,0
R,112,26189,0
R,114,28216,0
R,115,29088,0
R,116,29824,0
R,117,30560,1
R,118,31237,1
R,119,31741,0
R,121,32749,0
R,122,33253,1
R,123,33608,1
R,125,34185,0
R,126,34474,0
R,130,35535,1
R,133,35975,1
R,137,36561,0
R,143,37323,0
R,147,37604,1
R,149,37745,1
R,163,38729,0
R,169,39064,0
R,178,39206,0
R,197,39507,1
R,224,39934,0
C,34,26,0,92,102,0
C,29,30,0,92,103,0
C,24,36,0,87,105,0
C,19,46,0,134,107,0
C,13,64,0,124,111,0
C,6,100,0,82,119,0
