pose,start_ticks,physics_ticks,prepare_ticks,submit_ticks,hash,road_bytes
0,0,2,0,2,1990284955,305
1,4,0,0,2,1375286013,280
2,6,0,2,2,761151943,280
3,10,0,2,2,2899032635,280
4,14,0,2,2,872599450,305
5,18,0,2,2,824611647,305
6,22,0,0,4,777541552,305
7,26,0,2,2,1825901610,280
8,30,0,2,2,51205005,280
9,34,0,2,2,4144726455,455
10,38,0,2,2,2093411337,630
11,42,0,2,2,2545594437,605
12,46,0,2,2,1220631340,605
13,50,0,2,2,1038476441,405
14,54,0,2,2,2097639378,305
15,58,0,2,2,3851916500,405
16,62,0,2,2,2040192255,480
17,66,0,2,2,1053357489,530
18,70,0,2,2,840243915,480
19,74,0,2,2,3528211151,355
20,78,0,2,2,2379088510,355
21,82,0,2,2,3622734259,380
22,86,0,2,2,3336412276,430
23,90,0,2,2,3074210110,580
24,94,0,2,2,3420046065,580
25,98,0,2,2,4093922667,555
26,102,0,2,2,941450573,405
27,106,0,2,2,3939934681,355
28,110,0,2,2,30643792,330
29,114,0,2,2,2982523917,455
30,118,0,2,2,2173218198,630
31,122,0,2,2,2529153576,530
32,126,0,2,2,896410787,330
33,130,0,2,2,3957086437,305
34,134,0,2,2,2456560719,330
35,138,0,2,2,1588528291,380
36,142,0,2,2,851568290,480
37,146,0,2,2,513679911,430
38,150,0,2,2,2352822904,430
39,154,0,2,2,4074186642,405
40,158,0,2,2,23253717,405
41,162,0,2,2,288770463,405
42,166,0,2,2,1527719889,405
43,170,0,2,2,1932573677,380
44,174,0,2,2,1486688948,380
45,178,0,2,2,3690374145,455
46,182,0,2,2,1055366106,455
47,186,0,2,2,2302138556,430
48,190,0,2,2,1778883975,405
49,194,0,2,2,1336204825,430
50,198,0,2,2,1973094163,480
51,202,0,2,2,2272399287,530
52,206,0,2,2,449833798,555
53,210,0,2,2,487877403,455
54,214,0,2,2,1744150972,305
55,218,0,2,2,1067269734,280
56,222,0,2,2,3015746553,280
57,226,0,2,2,1560733267,280
58,230,0,2,2,2656836309,280
59,234,0,2,2,2844270401,305
60,238,0,0,4,1879720024,305
61,242,0,2,2,1978283509,280
62,246,0,2,2,4284212062,280
63,250,0,0,4,1859756176,280
# complete
