347,0,0,319,1,1,1,194,6
R,104,61470,0
R,105,59213,0
R,106,57178,0
R,107,55418,0
R,109,52494,0
R,111,50318,0
R,113,48610,0
R,115,47242,0
R,116,46709,1
R,118,45647,1
R,119,45330,0
R,121,44695,1
R,123,44126,1
R,125,43889,0
R,127,43652,0
R,130,43305,1
R,134,43079,1
R,136,42966,0
R,146,42485,1
R,153,42254,1
R,163,41924,0
R,172,41684,0
R,188,41653,0
R,196,41638,1
R,224,41583,1
C,34,26,1,211,102,2626
C,29,30,1,191,103,3030
C,24,36,1,164,105,3636
C,17,46,1,188,107,4646
C,11,64,1,158,111,6464
C,6,100,1,101,119,10100
