pose,start_ticks,physics_ticks,prepare_ticks,submit_ticks,hash,road_bytes
0,0,2,0,2,1990284955,455
1,4,0,2,2,1892111997,480
2,8,0,2,0,2292751431,505
3,10,0,2,2,2102052475,480
4,14,0,2,2,155756826,530
5,18,0,2,2,1792588991,505
6,22,0,2,2,4062114992,605
7,26,0,2,2,725334250,630
8,30,0,2,2,2123129549,605
9,34,0,2,2,2588403447,630
10,38,0,2,2,19661321,580
11,42,0,2,2,885617285,680
12,46,0,2,2,281685100,705
13,50,0,2,2,3883386969,605
14,54,0,2,2,2874204754,555
15,58,0,2,2,3807365332,580
16,62,0,2,2,826385919,580
17,66,0,2,2,1996525169,705
18,70,0,2,2,1056005835,580
19,74,0,2,2,1555035535,555
20,78,0,2,2,3430246078,480
21,82,0,2,2,1524757427,480
22,86,0,2,2,2288656116,455
23,90,0,2,2,1429473214,355
24,94,0,2,2,1898706993,380
25,98,0,2,2,722412779,330
26,102,0,2,2,1093241485,280
27,106,0,2,2,4104267673,280
28,110,0,2,2,1686419664,330
29,114,0,2,2,3747833357,355
30,118,0,2,2,2394587798,355
31,122,0,2,2,3668659624,355
32,126,0,2,2,1470181731,430
33,130,0,2,2,165446245,430
34,134,0,2,2,2595249487,455
35,138,0,2,2,3608308067,530
36,142,0,2,2,2759608802,580
37,146,0,2,2,176420711,605
38,150,0,2,2,1713169720,580
39,154,0,2,2,2061726354,630
40,158,0,2,2,2772576661,605
41,162,0,2,2,1920761567,580
42,166,0,2,2,825243601,655
43,170,0,2,2,4189905453,655
44,174,0,2,2,1260122612,655
45,178,0,2,2,2354479041,530
46,182,0,2,2,3713474266,580
47,186,0,2,2,1555385980,530
48,190,0,2,2,2656745671,580
49,194,0,2,2,2396093209,680
50,198,0,2,2,2107457875,555
51,202,0,2,2,3180947959,555
52,206,0,2,2,2846787846,480
53,210,0,2,2,3017332507,530
54,214,0,2,2,1517946748,455
55,218,0,2,2,2728704358,455
56,222,0,2,2,3544299257,455
57,226,0,2,2,2900245907,430
58,230,0,2,2,3632025365,430
59,234,0,2,2,468052481,405
60,238,0,2,2,3896394328,455
61,242,0,2,2,2038968501,480
62,246,0,2,2,3430418526,455
63,250,0,2,2,155125904,455
# complete
