call,valid,wrap,count,last,error,expected,matrices,nonfinite,read_errors,live_allocs,live_bytes,active_hex
30,1,1,31,30,0,31,106,0,0,3698,720553,010050001e000000f01f04007e090e0002f6ffffa0000000485e0400d3ff00009881040000000000e8a404002d000000c0c70400d3ff000010eb040000000000600e05002d00000000003c001e00195a
31,1,1,32,31,0,32,106,0,0,3698,720553,010050001f00000018430400ef0df2fffe090000a000000070810400d3ff0000c0a404000000000010c804002d000000e8ea0400d3ff0000380e050000000000883105002d00000000003c001f00195a
32,1,1,33,32,0,33,106,0,0,3698,720553,0100500020000000406604006012f2fffeb9ffffa000000098a40400d3ff0000e8c704000000000038eb04002d000000100e0500d3ff00006031050000000000b05405002d00000000003c002000195a
33,1,1,34,33,0,34,106,0,0,3698,720553,010050002100000068890400d116f9fffedcffffa0000000c0c70400d3ff000010eb040000000000600e05002d00000038310500d3ff00008854050000000000d87705002d00000000003c002100195a
34,1,1,35,34,0,35,106,0,0,3698,720553,010050002200000090ac0400421b000000000000a0000000e8ea0400d3ff0000380e050000000000883105002d00000060540500d3ff0000b077050000000000009b05002d00000000003c002200195a
35,1,1,36,35,0,36,106,0,0,3698,720553,0100500023000000b8cf04007300070002230000a0000000100e0500d3ff00006031050000000000b05405002d00000088770500d3ff0000d89a05000000000028be05002d00000000003c002300195a
36,1,1,37,36,0,37,106,0,0,3698,720553,0100500024000000e0f20400e4040e0002460000a000000038310500d3ff00008854050000000000d87705002d000000b09a0500d3ff000000be05000000000050e105002d00000000003c002400195a
37,1,1,38,37,0,38,106,0,0,3698,720553,0100500025000000081605005509000000000000a000000060540500d3ff0000b077050000000000009b05002d000000d8bd0500d3ff000028e1050000000000780406002d00000000003c002500195a
38,1,1,39,38,0,39,106,0,0,3698,720553,010050002600000030390500c60d0e0003f6ffffa000000088770500d3ff0000d89a05000000000028be05002d00000000e10500d3ff00005004060000000000a02706002d00000000003c002600195a
39,1,1,40,39,0,40,106,0,0,3698,720553,0100500027000000585c05003712f2fffe090000a0000000b09a0500d3ff000000be05000000000050e105002d00000028040600d3ff00007827060000000000c84a06002d00000000003c002700195a
40,1,1,41,40,0,41,106,0,0,3698,720553,0100500028000000807f0500a816f2fffeb9ffffa0000000d8bd0500d3ff000028e1050000000000780406002d00000050270600d3ff0000a04a060000000000f06d06002d00000000003c002800195a
41,1,1,42,41,0,42,106,0,0,3698,720553,0100500029000000a8a20500191bf9ffffdcffffa000000000e10500d3ff00005004060000000000a02706002d000000784a0600d3ff0000c86d060000000000189106002d00000000003c002900195a
42,1,1,43,42,0,43,106,0,0,3698,720553,010050002a000000d0c505004a00000000000000a000000028040600d3ff00007827060000000000c84a06002d000000a06d0600d3ff0000f09006000000000040b406002d00000000003c002a00195a
43,1,1,44,43,0,44,106,0,0,3698,720553,010050002b000000f8e80500bb04070004230000a000000050270600d3ff0000a04a060000000000f06d06002d000000c8900600d3ff000018b406000000000068d706002d00000000003c002b00195a
44,1,1,45,44,0,45,106,0,0,3698,720553,010050002c000000200c06002c090e0004460000a0000000784a0600d3ff0000c86d060000000000189106002d000000f0b30600d3ff000040d706000000000090fa06002d00000000003c002c00195a
45,1,1,46,45,0,46,106,0,0,3698,720553,010050002d000000482f06009d0d000000000000a0000000a06d0600d3ff0000f09006000000000040b406002d00000018d70600d3ff000068fa060000000000b81d07002d00000000003c002d00195a
46,1,1,47,46,0,47,106,0,0,3698,720553,010050002e000000705206000e120e0004f6ffffa0000000c8900600d3ff000018b406000000000068d706002d00000040fa0600d3ff0000901d070000000000e04007002d00000000003c002e00195a
47,1,1,48,47,0,48,106,0,0,3698,720553,010050002f000000987506007f16f2ffff090000a0000000f0b30600d3ff000040d706000000000090fa06002d000000681d0700d3ff0000b840070000000000086407002d00000000003c002f00195a
48,1,1,49,48,0,49,106,0,0,3698,720553,0100500030000000c0980600f01af2ffffb9ffffa000000018d70600d3ff000068fa060000000000b81d07002d00000090400700d3ff0000e063070000000000308707002d00000000003c003000195a
49,1,1,50,49,0,50,106,0,0,3698,720553,0100500031000000e8bb06002100f9ffffdcffffa000000040fa0600d3ff0000901d070000000000e04007002d000000b8630700d3ff0000088707000000000058aa07002d00000000003c003100195a
50,1,1,51,50,0,51,106,0,0,3698,720553,010050003200000010df06009204000000000000a0000000681d0700d3ff0000b840070000000000086407002d000000e0860700d3ff000030aa07000000000080cd07002d00000000003c003200195a
51,1,1,52,51,0,52,106,0,0,3698,720553,0100500033000000380207000309070004230000a000000090400700d3ff0000e063070000000000308707002d00000008aa0700d3ff000058cd070000000000a8f007002d00000000003c003300195a
