456,140,180,319,1,4,1,342,6
R,104,66511,0
R,106,62873,0
R,108,59919,0
R,110,57599,0
R,112,55775,0
R,115,53687,0
R,116,53087,1
R,117,52517,0
R,119,51680,1
R,122,50534,0
R,125,49612,1
R,128,48780,1
R,130,48397,0
R,136,47247,0
R,137,47056,1
R,140,46727,1
R,147,46130,0
R,149,45959,0
R,161,45055,0
R,163,44981,1
R,171,44683,1
R,197,43717,0
R,224,42824,0
C,34,26,1,235,102,2626
C,29,30,1,216,103,3030
C,24,36,1,189,105,3636
C,19,46,1,212,107,4646
C,13,64,1,178,111,6464
C,7,100,1,116,119,10100
