893,-85,0,84,1,3,0,-70,6
R,104,11139,0
R,105,11911,0
R,107,14119,0
R,110,17813,0
R,112,19951,0
R,115,22471,0
R,116,23141,0
R,117,23811,1
R,119,25038,0
R,122,26616,1
R,123,27141,1
R,125,27892,0
R,130,29761,1
R,133,30521,1
R,137,31436,0
R,142,32578,0
R,145,33108,0
R,147,33336,1
R,163,35161,0
R,168,35731,0
R,173,36303,0
R,178,36462,0
R,197,37064,1
R,224,37920,0
C,34,26,0,71,102,0
C,29,30,0,68,103,0
C,24,36,0,61,105,0
C,19,46,0,108,107,0
C,14,64,0,101,111,0
C,8,100,0,65,119,0
