788,-56,0,55,1,1,0,31,6
R,104,56801,0
R,105,54813,0
R,106,53179,0
R,107,51936,0
R,109,50088,0
R,111,48926,0
R,116,47087,0
R,117,46762,1
R,118,46437,1
R,119,46142,0
R,122,45511,1
R,125,44972,0
R,128,44564,0
R,130,44293,1
R,134,43918,1
R,137,43730,0
R,147,43146,1
R,149,43100,1
R,163,42780,0
R,189,42330,0
R,197,42269,1
R,224,42063,1
C,34,26,1,201,102,2626
C,28,30,1,186,103,3030
C,23,36,1,163,105,3636
C,17,46,1,191,107,4646
C,11,64,1,162,111,6464
C,6,100,1,104,119,10100
