0,0,0,0,0,0,0,117,6
R,104,66353,0
R,107,62156,0
R,109,59583,0
R,111,57438,0
R,114,54974,0
R,116,53602,0
R,117,53027,1
R,119,51927,0
R,122,50731,1
R,124,49961,1
R,125,49687,0
R,130,48313,1
R,133,47661,1
R,137,47106,0
R,138,46968,0
R,147,45789,1
R,148,45719,1
R,155,45230,1
R,163,44671,0
R,181,43508,0
R,189,43388,0
R,197,43269,1
R,198,43254,1
R,224,42865,0
C,34,26,1,238,102,2626
C,29,30,1,219,103,3030
C,24,36,1,191,105,3636
C,19,46,1,213,107,4646
C,13,64,1,178,111,6464
C,7,100,1,115,119,10100
