512,0,0,0,0,1,0,-245,6
R,104,23220,0
R,105,26032,0
R,106,28527,0
R,107,30568,0
R,108,32219,0
R,109,33540,0
R,110,34594,0
R,112,36068,0
R,114,37136,0
R,116,37822,0
R,117,38145,1
R,118,38383,1
R,119,38586,0
R,122,39168,1
R,123,39296,1
R,125,39552,0
R,130,40089,1
R,137,40568,0
R,140,40743,0
R,147,40810,1
R,163,40960,0
R,181,40960,0
R,197,40960,1
R,224,40960,0
C,34,26,0,137,102,0
C,28,30,0,133,103,0
C,22,36,0,122,105,0
C,16,46,0,161,107,0
C,11,64,0,144,111,0
C,5,100,0,95,119,0
