0,0,0,0,0,4,1,453,6
R,104,10543,0
R,109,16876,0
R,112,20224,0
R,115,23081,0
R,116,23955,0
R,117,24672,1
R,119,26107,0
R,120,26753,0
R,122,27862,1
R,124,28972,1
R,125,29526,0
R,126,29867,0
R,130,31206,1
R,132,31875,1
R,135,32695,1
R,137,33060,0
R,146,34703,0
R,147,34885,1
R,149,35250,1
R,152,35578,1
R,163,36287,0
R,181,37448,0
R,189,37964,0
R,197,38201,1
R,224,38502,1
C,34,26,0,71,102,0
C,29,30,0,69,103,0
C,24,36,0,63,105,0
C,19,70,0,110,112,0
C,14,74,0,111,113,0
C,8,80,0,113,115,0
