call,valid,wrap,count,last,error,expected,matrices,nonfinite,read_errors,live_allocs,live_bytes,active_hex
0,1,1,1,0,0,1,111,0,0,3771,843411,0100500000000100400100004001f2fffeb9ffffa0000000983f0000d3ff0000e862000000000000388600002d00000010a90000d3ff000060cc000000000000b0ef00002d00000000003c000000195a
1,1,1,2,1,0,2,111,0,0,3771,843411,010050000100010040c90000490ef9fffedcffffa000000098070100d3ff0000e82a010000000000384e01002d00000010710100d3ff00006094010000000000b0b701002d00000000003c000100195a
2,1,1,3,2,0,3,111,0,0,3771,843411,010050000200010040910100521b000000000000a000000098cf0100d3ff0000e8f2010000000000381602002d00000010390200d3ff0000605c020000000000b07f02002d00000000003c000200195a
3,1,1,4,3,0,4,111,0,0,3771,843411,0100500003000100405902001b09070002230000a000000098970200d3ff0000e8ba02000000000038de02002d00000010010300d3ff00006024030000000000b04703002d00000000003c000300195a
4,1,1,5,4,0,5,111,0,0,3771,843411,01005000040001004021030024160e0002460000a0000000985f0300d3ff0000e88203000000000038a603002d00000010c90300d3ff000060ec030000000000b00f04002d00000000003c000400195a
5,1,1,6,5,0,6,111,0,0,3771,843411,010050000500010040e90300ed03000000000000a000000098270400d3ff0000e84a040000000000386e04002d00000010910400d3ff000060b4040000000000b0d704002d00000000003c000500195a
6,1,1,7,6,0,7,111,0,0,3771,843411,010050000600010040b10400f6100e0002f6ffffa000000098ef0400d3ff0000e812050000000000383605002d00000010590500d3ff0000607c050000000000b09f05002d00000000003c000600195a
7,1,1,8,7,0,8,111,0,0,3771,843411,010050000700010040790500ff1df2fffe090000a000000098b70500d3ff0000e8da05000000000038fe05002d00000010210600d3ff00006044060000000000b06706002d00000000003c000700195a
8,1,1,9,8,0,9,111,0,0,3771,843411,010050000800010040410600c80bf2fffeb9ffffa0000000987f0600d3ff0000e8a206000000000038c606002d00000010e90600d3ff0000600c070000000000b02f07002d00000000003c000800195a
9,1,1,10,9,0,10,112,0,0,3772,843427,010050000900010040090700d118f9fffedcffffa000000098470700d3ff0000e86a070000000000388e07002d00000010b10700d3ff000060d4070000000000b0f707002d00000000003c000900195a
10,1,1,11,10,0,11,112,0,0,3772,843427,010050000a00010040d107009a06000000000000a0000000980f0800d3ff0000e832080000000000385608002d00000010790800d3ff0000609c080000000000b0bf08002d00000000003c000a00195a
11,1,1,12,11,0,12,112,0,0,3772,843427,010050000b00010040990800a313070001230000a000000098d70800d3ff0000e8fa080000000000381e09002d00000010410900d3ff00006064090000000000b08709002d00000000003c000b00195a
12,1,1,13,12,0,13,112,0,0,3772,843427,010050000c000100406109006c010e0001460000a0000000989f0900d3ff0000e8c209000000000038e609002d00000010090a00d3ff0000602c0a0000000000b04f0a002d00000000003c000c00195a
13,1,1,14,13,0,14,112,0,0,3772,843427,010050000d00010040290a00750e000000000000a000000098670a00d3ff0000e88a0a000000000038ae0a002d00000010d10a00d3ff000060f40a0000000000b0170b002d00000000003c000d00195a
14,1,1,15,14,0,15,112,0,0,3772,843427,010050000e00010040f10a007e1b0e0002f6ffffa0000000982f0b00d3ff0000e8520b000000000038760b002d00000010990b00d3ff000060bc0b0000000000b0df0b002d00000000003c000e00195a
15,1,1,16,15,0,16,112,0,0,3772,843427,010050000f00010040b90b004709f2fffe090000a000000098f70b00d3ff0000e81a0c0000000000383e0c002d00000010610c00d3ff000060840c0000000000b0a70c002d00000000003c000f00195a
16,1,1,17,16,0,17,112,0,0,3772,843427,010050001000010040810c005016f2fffeb9ffffa000000098bf0c00d3ff0000e8e20c000000000038060d002d00000010290d00d3ff0000604c0d0000000000b06f0d002d00000000003c001000195a
17,1,1,18,17,0,18,112,0,0,3772,843427,010050001100010040490d001904f9fffedcffffa000000098870d00d3ff0000e8aa0d000000000038ce0d002d00000010f10d00d3ff000060140e0000000000b0370e002d00000000003c001100195a
18,1,1,19,18,0,19,112,0,0,3772,843427,010050001200010040110e002211000000000000a0000000984f0e00d3ff0000e8720e000000000038960e002d00000010b90e00d3ff000060dc0e0000000000b0ff0e002d00000000003c001200195a
19,1,1,20,19,0,20,112,0,0,3772,843427,010050001300010040d90e002b1e070002230000a000000098170f00d3ff0000e83a0f0000000000385e0f002d00000010810f00d3ff000060a40f0000000000b0c70f002d00000000003c001300195a
20,1,1,21,20,0,21,112,0,0,3772,843427,010050001400010040a10f00f40b0e0002460000a000000098df0f00d3ff0000e802100000000000382610002d00000010491000d3ff0000606c100000000000b08f10002d00000000003c001400195a
21,1,1,22,21,0,22,112,0,0,3772,843427,010050001500010040691000fd18000000000000a000000098a71000d3ff0000e8ca10000000000038ee10002d00000010111100d3ff00006034110000000000b05711002d00000000003c001500195a
22,1,1,23,22,0,23,112,0,0,3772,843427,010050001600010040311100c6060e0002f6ffffa0000000986f1100d3ff0000e89211000000000038b611002d00000010d91100d3ff000060fc110000000000b01f12002d00000000003c001600195a
23,1,1,24,23,0,24,112,0,0,3772,843427,010050001700010040f91100cf13f2fffd090000a000000098371200d3ff0000e85a120000000000387e12002d00000010a11200d3ff000060c4120000000000b0e712002d00000000003c001700195a
24,1,1,25,24,0,25,112,0,0,3772,843427,010050001800010040c112009801f2fffdb9ffffa000000098ff1200d3ff0000e822130000000000384613002d00000010691300d3ff0000608c130000000000b0af13002d00000000003c001800195a
25,1,1,26,25,0,26,112,0,0,3772,843427,010050001900010040891300a10ef9fffddcffffa000000098c71300d3ff0000e8ea130000000000380e14002d00000010311400d3ff00006054140000000000b07714002d00000000003c001900195a
26,1,1,27,26,0,27,112,0,0,3772,843427,010050001a00010040511400aa1b000000000000a0000000988f1400d3ff0000e8b214000000000038d614002d00000010f91400d3ff0000601c150000000000b03f15002d00000000003c001a00195a
27,1,1,28,27,0,28,112,0,0,3772,843427,010050001b000100401915007309070002230000a000000098571500d3ff0000e87a150000000000389e15002d00000010c11500d3ff000060e4150000000000b00716002d00000000003c001b00195a
28,1,1,29,28,0,29,112,0,0,3772,843427,010050001c00010040e115007c160e0002460000a0000000981f1600d3ff0000e842160000000000386616002d00000010891600d3ff000060ac160000000000b0cf16002d00000000003c001c00195a
29,1,1,30,29,0,30,112,0,0,3772,843427,010050001d00010040a916004504000000000000a000000098e71600d3ff0000e80a170000000000382e17002d00000010511700d3ff00006074170000000000b09717002d00000000003c001d00195a
30,1,1,31,30,0,31,112,0,0,3772,843427,010050001e000100407117004e110e0002f6ffffa000000098af1700d3ff0000e8d217000000000038f617002d00000010191800d3ff0000603c180000000000b05f18002d00000000003c001e00195a
31,1,1,32,31,0,32,112,0,0,3772,843427,010050001f00010040391800571ef2ff000a0000a000000098771800d3ff0000e89a18000000000038be18002d00000010e11800d3ff00006004190000000000b02719002d00000000003c001f00195a
32,1,1,33,32,0,33,112,0,0,3772,843427,010050002000010040011900200cf2ffffb9ffffa0000000983f1900d3ff0000e862190000000000388619002d00000010a91900d3ff000060cc190000000000b0ef19002d00000000003c002000195a
33,1,1,34,33,0,34,112,0,0,3772,843427,010050002100010040c919002919f9fffedcffffa000000098071a00d3ff0000e82a1a0000000000384e1a002d00000010711a00d3ff000060941a0000000000b0b71a002d00000000003c002100195a
34,1,1,35,34,0,35,112,0,0,3772,843427,010050002200010040911a00f206000000000000a000000098cf1a00d3ff0000e8f21a000000000038161b002d00000010391b00d3ff0000605c1b0000000000b07f1b002d00000000003c002200195a
35,1,1,36,35,0,36,112,0,0,3772,843427,010050002300010040591b00fb13070002230000a000000098971b00d3ff0000e8ba1b000000000038de1b002d00000010011c00d3ff000060241c0000000000b0471c002d00000000003c002300195a
36,1,1,37,36,0,37,112,0,0,3772,843427,010050002400010040211c00c4010e0002460000a0000000985f1c00d3ff0000e8821c000000000038a61c002d00000010c91c00d3ff000060ec1c0000000000b00f1d002d00000000003c002400195a
37,1,1,38,37,0,38,112,0,0,3772,843427,010050002500010040e91c00cd0e000000000000a000000098271d00d3ff0000e84a1d0000000000386e1d002d00000010911d00d3ff000060b41d0000000000b0d71d002d00000000003c002500195a
38,1,1,39,38,0,39,112,0,0,3772,843427,010050002600010040b11d00d61b0e0002f6ffffa000000098ef1d00d3ff0000e8121e000000000038361e002d00000010591e00d3ff0000607c1e0000000000b09f1e002d00000000003c002600195a
39,1,1,40,39,0,40,112,0,0,3772,843427,010050002700010040791e009f09f2fffd090000a000000098b71e00d3ff0000e8da1e000000000038fe1e002d00000010211f00d3ff000060441f0000000000b0671f002d00000000003c002700195a
40,1,1,41,40,0,41,112,0,0,3772,843427,010050002800010040411f00a816f2fffeb9ffffa0000000987f1f00d3ff0000e8a21f000000000038c61f002d00000010e91f00d3ff0000600c200000000000b02f20002d00000000003c002800195a
41,1,1,42,41,0,42,112,0,0,3772,843427,0100500029000100400920007104f9fffedcffffa000000098472000d3ff0000e86a200000000000388e20002d00000010b12000d3ff000060d4200000000000b0f720002d00000000003c002900195a
42,1,1,43,42,0,43,112,0,0,3772,843427,010050002a00010040d120007a11000000000000a0000000980f2100d3ff0000e832210000000000385621002d00000010792100d3ff0000609c210000000000b0bf21002d00000000003c002a00195a
43,1,1,44,43,0,44,112,0,0,3772,843427,010050002b00010040992100831e070002230000a000000098d72100d3ff0000e8fa210000000000381e22002d00000010412200d3ff00006064220000000000b08722002d00000000003c002b00195a
44,1,1,45,44,0,45,112,0,0,3772,843427,010050002c000100406122004c0c0e0002460000a0000000989f2200d3ff0000e8c222000000000038e622002d00000010092300d3ff0000602c230000000000b04f23002d00000000003c002c00195a
45,1,1,46,45,0,46,112,0,0,3772,843427,010050002d000100402923005519000000000000a000000098672300d3ff0000e88a23000000000038ae23002d00000010d12300d3ff000060f4230000000000b01724002d00000000003c002d00195a
46,1,1,47,46,0,47,112,0,0,3772,843427,010050002e00010040f123001e070e0002f6ffffa0000000982f2400d3ff0000e852240000000000387624002d00000010992400d3ff000060bc240000000000b0df24002d00000000003c002e00195a
47,1,1,48,47,0,48,112,0,0,3772,843427,010050002f00010040b924002714f2fffd090000a000000098f72400d3ff0000e81a250000000000383e25002d00000010612500d3ff00006084250000000000b0a725002d00000000003c002f00195a
48,1,1,49,48,0,49,112,0,0,3772,843427,010050003000010040812500f001f2fffeb9ffffa000000098bf2500d3ff0000e8e2250000000000380626002d00000010292600d3ff0000604c260000000000b06f26002d00000000003c003000195a
49,1,1,50,49,0,50,112,0,0,3772,843427,010050003100010040492600f90ef9fffedcffffa000000098872600d3ff0000e8aa26000000000038ce26002d00000010f12600d3ff00006014270000000000b03727002d00000000003c003100195a
50,1,1,51,50,0,51,112,0,0,3772,843427,010050003200010040112700021c000000000000a0000000984f2700d3ff0000e872270000000000389627002d00000010b92700d3ff000060dc270000000000b0ff27002d00000000003c003200195a
