# clock_hz=120,fenced=1,submitted=100,acknowledged=100,unrecorded=0,timeout=0,run_ticks=2412,startup_ticks=2,drain_ticks=0
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored
0,0,0,14,4,2,1677,6,0
20,20,4,14,4,2,1677,6,0
44,24,4,18,2,2,1569,6,0
70,26,4,16,4,2,1569,6,0
96,26,6,16,2,2,1785,6,0
122,26,6,16,2,2,1542,6,0
148,26,6,14,4,2,1677,6,0
174,26,4,18,2,2,1785,6,0
200,26,4,16,4,2,1893,6,0
226,26,4,18,4,2,1650,6,0
254,28,4,16,4,2,1677,6,0
280,26,4,18,4,2,1569,5,0
308,28,6,16,2,2,1542,5,0
334,26,4,30,2,2,1569,5,0
372,38,4,10,4,2,1785,5,0
392,20,2,16,4,2,1677,5,0
416,24,6,14,4,2,1785,5,0
442,26,4,16,2,2,1569,5,0
466,24,6,14,4,2,1677,5,0
492,26,6,14,4,2,1569,5,0
518,26,6,14,4,2,1785,5,0
544,26,6,14,2,2,1785,5,0
568,24,6,14,4,2,1785,5,0
594,26,4,16,4,2,2055,5,0
620,26,4,16,2,2,1947,5,0
644,24,4,16,2,2,1596,5,0
668,24,4,14,4,2,1704,5,0
692,24,4,16,4,2,1569,5,0
718,26,6,14,2,2,1677,5,0
742,24,4,14,4,2,1677,5,0
766,24,4,16,2,2,1569,5,0
790,24,4,16,2,2,1461,5,0
814,24,4,16,2,2,1461,5,0
838,24,4,14,4,2,1623,5,0
862,24,4,16,2,2,1461,5,0
886,24,4,16,2,2,1488,5,0
910,24,6,16,4,2,1434,5,0
938,28,6,14,4,2,1461,5,0
964,26,6,14,2,2,1542,5,0
988,24,6,14,4,2,1461,5,0
1014,26,4,26,8,2,1461,5,0
1054,40,8,8,2,2,1623,5,0
1074,20,4,10,6,2,1353,5,0
1096,22,4,16,16,4,1353,5,0
1136,40,36,28,4,2,1569,5,0
1206,70,26,10,2,2,1218,5,0
1246,40,4,10,0,2,1110,5,0
1262,16,2,8,0,2,1353,5,0
1274,12,2,6,2,2,1245,5,0
1286,12,0,10,0,2,1110,5,0
1298,12,2,8,0,2,1245,5,0
1310,12,0,8,2,2,1245,4,0
1322,12,2,6,2,2,1110,4,0
1334,12,0,8,2,2,1245,4,0
1346,12,0,8,2,2,1245,4,0
1358,12,2,6,2,2,1110,4,0
1370,12,0,10,0,2,1245,4,0
1382,12,0,8,2,2,1245,4,0
1394,12,0,8,2,2,1218,4,0
1406,12,0,8,2,2,1353,4,0
1418,12,0,8,2,2,1353,4,0
1430,12,0,14,2,2,1218,4,0
1448,18,4,14,2,2,1353,3,0
1470,22,4,16,2,2,1461,3,0
1494,24,4,18,2,2,1461,3,0
1520,26,6,14,2,2,1461,3,0
1544,24,4,16,2,2,1677,3,0
1568,24,4,18,2,2,1434,3,0
1594,26,6,14,2,2,1677,3,0
1618,24,4,18,2,2,1785,3,0
1644,26,4,16,2,2,1542,3,0
1668,24,4,16,2,2,1785,3,0
1692,24,4,18,2,2,1785,3,0
1718,26,4,16,4,2,1758,3,0
1744,26,4,18,2,2,1677,3,0
1770,26,6,14,4,2,1785,3,0
1796,26,4,16,2,2,1785,3,0
1820,24,4,18,2,2,1677,3,0
1846,26,6,14,4,2,1704,3,0
1872,26,4,18,2,2,1434,3,0
1898,26,4,18,2,2,1677,3,0
1924,26,6,16,2,2,1542,3,0
1950,26,6,16,2,2,1569,3,0
1976,26,6,16,2,2,1434,3,0
2002,26,4,18,2,2,1704,3,0
2028,26,6,16,2,2,1677,3,0
2054,26,6,16,2,2,1704,3,0
2080,26,6,16,2,2,1650,3,0
2106,26,6,14,4,2,1677,3,0
2132,26,4,16,2,2,1650,3,0
2156,24,4,18,2,2,1569,3,0
2182,26,6,14,4,2,1596,3,0
2208,26,4,16,2,2,1731,3,0
2232,24,4,16,4,2,1461,3,0
2258,26,6,14,2,2,1596,3,0
2282,24,6,16,2,2,1434,3,0
2308,26,4,18,2,2,1461,3,0
2334,26,6,12,4,2,1434,3,0
2358,24,6,16,4,2,1677,3,0
2386,28,6,16,2,2,1461,3,0
