# clock_hz=120,fenced=0,submitted=69,acknowledged=0,unrecorded=0,timeout=0,run_ticks=2424,startup_ticks=2,drain_ticks=2
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored
0,0,0,8,4,0,1677,6,0
12,12,2,8,2,0,1677,6,0
24,12,2,22,6,0,1677,6,0
54,30,4,10,2,0,1569,6,0
70,16,2,10,2,0,1569,6,0
84,14,2,12,2,0,1542,6,0
100,16,4,12,4,0,1677,6,0
120,20,6,12,0,0,1542,6,0
138,18,4,22,6,0,1677,6,0
170,32,6,10,10,0,1893,6,0
196,26,12,22,2,0,1650,6,0
232,36,6,10,2,0,1650,6,0
250,18,4,26,6,0,1677,6,0
286,36,14,20,2,0,1677,5,0
322,36,6,20,4,0,1677,5,0
352,30,8,18,2,0,1542,5,0
380,28,6,22,12,0,1677,5,0
420,40,12,26,6,0,1677,5,0
464,44,12,20,4,0,1677,5,0
500,36,10,14,4,0,1434,5,0
528,28,8,18,4,0,1893,5,0
558,30,16,22,4,0,1758,5,0
600,42,8,28,4,0,1812,5,0
640,40,10,20,2,0,1596,5,0
672,32,18,18,2,0,1704,5,0
710,38,14,30,4,0,1542,5,0
758,48,26,12,4,0,1434,5,0
800,42,12,20,4,0,1461,5,0
836,36,6,10,4,0,1623,5,0
856,20,4,10,2,0,1461,5,0
872,16,2,12,2,0,1596,5,0
888,16,4,10,2,0,1353,5,0
904,16,4,10,0,0,1569,5,0
918,14,4,18,6,0,1434,5,0
946,28,8,10,2,0,1461,5,0
966,20,6,10,2,0,1542,5,0
984,18,4,30,2,0,1461,5,0
1020,36,18,28,4,0,1488,5,0
1070,50,24,26,10,0,1353,5,0
1130,60,24,12,2,0,1461,5,0
1168,38,8,20,4,0,1218,5,0
1200,32,10,32,10,0,1353,5,0
1252,52,26,18,4,0,1353,5,0
1300,48,34,26,16,0,1245,4,0
1376,76,24,24,4,0,1245,4,0
1428,52,20,38,2,0,1218,3,0
1488,60,22,28,6,0,1461,3,0
1544,56,18,12,4,0,1677,3,0
1578,34,6,12,2,0,1677,3,0
1598,20,4,14,10,0,1677,3,0
1626,28,18,12,8,0,1677,3,0
1664,38,12,24,8,0,1785,3,0
1708,44,10,28,10,0,1650,3,0
1756,48,14,22,12,0,1785,3,0
1804,48,24,22,6,0,1569,3,0
1856,52,16,10,8,0,1569,3,0
1890,34,6,10,2,0,1677,3,0
1908,18,4,12,4,0,1677,3,0
1928,20,4,16,8,0,1785,3,0
1956,28,8,16,2,0,1569,3,0
1982,26,6,16,2,0,1677,3,0
2006,24,6,22,8,0,1677,3,0
2042,36,18,26,8,0,1812,3,0
2094,52,28,44,10,0,1785,3,0
2176,82,52,20,6,0,1704,3,0
2254,78,18,14,18,0,1596,3,0
2304,50,18,16,6,0,1569,3,0
2344,40,12,16,10,0,1326,3,0
2382,38,12,18,12,0,1434,3,0
