777,0,0,319,1,1,0,21,6
R,104,15549,0
R,106,14116,0
R,107,13993,0
R,108,14223,0
R,109,14683,0
R,112,17197,0
R,116,21336,1
R,118,23373,1
R,119,24275,0
R,121,26080,1
R,122,26982,1
R,123,27781,1
R,124,28372,1
R,125,28963,0
R,129,31326,0
R,130,31886,1
R,131,32187,1
R,133,32788,1
R,136,33691,0
R,142,35495,0
R,144,35818,0
R,146,36042,1
R,163,37950,0
R,168,38512,0
R,173,38787,0
R,178,38876,0
R,196,39196,1
R,224,39693,0
C,34,26,0,63,102,0
C,29,30,0,58,103,0
C,24,36,0,52,105,0
C,19,46,0,105,107,0
C,14,64,0,108,111,0
C,8,100,0,76,119,0
